ID;Name;Registered voters;Envelopes;Valid Votes;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
562980;Bílence;186;113;113;4;1;0;5;5;10;0;0;1;0;0;5;2;4;54;0;1;4;0;2;0;0;15;0
562998;Blatno;434;287;287;36;0;0;11;17;36;4;2;2;0;0;27;0;6;105;0;1;5;0;2;0;0;32;1
563005;Boleboř;223;150;150;20;0;0;7;13;20;0;5;2;0;0;10;0;5;47;0;0;1;0;0;0;2;17;1
563013;Březno;1 097;591;591;32;1;0;20;17;86;6;9;6;1;0;47;1;13;241;0;4;7;0;7;1;2;88;2
563021;Černovice;460;294;293;29;1;1;24;9;20;4;3;5;1;1;18;0;3;126;0;2;2;0;1;0;1;41;1
563048;Domašín;142;63;63;3;0;0;3;3;16;0;1;0;0;0;4;0;5;19;0;0;0;0;2;1;0;5;1
563056;Droužkovice;667;402;399;54;3;1;29;22;35;7;4;12;0;0;22;0;11;157;0;2;4;2;2;0;1;29;2
563064;Hora Svatého Šebestiána;226;129;129;6;0;0;6;3;17;0;1;3;0;0;14;0;2;47;0;0;0;0;1;0;1;27;1
563072;Hrušovany;407;208;207;11;0;0;6;17;28;1;0;0;1;0;6;0;5;97;1;0;2;0;3;1;0;28;0
563081;Chbany;508;264;263;21;1;0;12;6;35;2;3;1;0;0;8;0;3;111;1;1;2;0;0;0;0;54;2
562971;Chomutov;37 974;18 242;18 131;1 541;31;6;1 312;692;1 842;246;142;298;17;28;1 358;15;543;6 976;9;60;284;10;122;21;37;2 476;65
